,0,1,2,3
202001010601,三連単,4 → 2 → 1,11120,37
202001010602,単勝,4,1290,5
202001010602,複勝,4br11br9,260br140br110,5br2br1
202001010602,枠連,4 - 8,2060,8
202001010602,馬連,4 - 11,3370,10
202001010602,ワイド,4 - 11br4 - 9br9 - 11,890br460br200,10br5br1
202001010602,馬単,4 → 11,7030,22
202001010602,三連複,4 - 9 - 11,1660,4
202001010602,三連単,4 → 11 → 9,17770,56
202001010603,単勝,10,230,1
202001010603,複勝,10br4br14,130br130br290,1br2br5
202001010603,枠連,3 - 6,290,1
202001010603,馬連,4 - 10,420,1
202001010603,ワイド,4 - 10br10 - 14br4 - 14,190br530br600,1br4br5
202001010603,馬単,10 → 4,690,1
202001010603,三連複,4 - 10 - 14,1400,2
202001010603,三連単,10 → 4 → 14,5480,5
202001010604,単勝,3,1500,5
202001010604,複勝,3br5br1,370br560br190,5br9br2
202001010604,枠連,2 - 3,2720,16
202001010604,馬連,3 - 5,10180,41
202001010604,ワイド,3 - 5br1 - 3br1 - 5,"2,580br990br1,390",34br7br11
202001010604,馬単,3 → 5,21440,81
202001010604,三連複,1 - 3 - 5,13170,39
202001010604,三連単,3 → 5 → 1,115820,410
202001010605,単勝,1,210,1
202001010605,複勝,1br7br3,110br120br160,1br2br4
202001010605,馬連,1 - 7,440,1
202001010605,ワイド,1 - 7br1 - 3br3 - 7,190br330br390,1br4br5
202001010605,馬単,1 → 7,730,1
202001010605,三連複,1 - 3 - 7,1020,3
202001010605,三連単,1 → 7 → 3,3110,4
202001010606,単勝,6,470,3
202001010606,複勝,6br10br4,160br120br160,3br1br4
202001010606,枠連,4 - 6,540,2
202001010606,馬連,6 - 10,590,1
202001010606,ワイド,6 - 10br4 - 6br4 - 10,230br460br300,1br7br3
202001010606,馬単,6 → 10,1290,5
202001010606,三連複,4 - 6 - 10,1050,2
202001010606,三連単,6 → 10 → 4,5010,10
202001010607,単勝,5,280,1
202001010607,複勝,5br7br10,120br170br120,1br3br2
202001010607,枠連,4 - 5,1290,7
202001010607,馬連,5 - 7,1480,6
202001010607,ワイド,5 - 7br5 - 10br7 - 10,420br230br360,5br1br2
202001010607,馬単,5 → 7,2360,9
202001010607,三連複,5 - 7 - 10,1380,3
202001010607,三連単,5 → 7 → 10,8080,17
202001010608,単勝,8,620,3
202001010608,複勝,8br5br4,310br180br190,7br2br4
202001010608,枠連,5 - 8,670,1
202001010608,馬連,5 - 8,2430,15
202001010608,ワイド,5 - 8br4 - 8br4 - 5,"710br1,040br450",13br19br4
202001010608,馬単,8 → 5,5790,35
202001010608,三連複,4 - 5 - 8,4230,22
202001010608,三連単,8 → 5 → 4,28530,153
202001010609,単勝,8,430,2
202001010609,複勝,8br4br7,130br120br300,2br1br5
202001010609,枠連,4 - 6,430,1
202001010609,馬連,4 - 8,470,1
202001010609,ワイド,4 - 8br7 - 8br4 - 7,210br980br770,1br12br8
202001010609,馬単,8 → 4,1120,3
202001010609,三連複,4 - 7 - 8,2460,6
202001010609,三連単,8 → 4 → 7,11080,24
202001010610,単勝,1,440,2
202001010610,複勝,1br2br4,150br160br280,2br3br6
202001010610,枠連,1 - 2,1340,5
202001010610,馬連,1 - 2,960,3
202001010610,ワイド,1 - 2br1 - 4br2 - 4,390br690br740,3br6br8
202001010610,馬単,1 → 2,2030,6
202001010610,三連複,1 - 2 - 4,3070,10
202001010610,三連単,1 → 2 → 4,13290,23
202001010611,単勝,13,300,1
202001010611,複勝,13br8br10,140br150br260,1br2br5
202001010611,枠連,5 - 8,800,2
202001010611,馬連,8 - 13,900,1
202001010611,ワイド,8 - 13br10 - 13br8 - 10,380br730br630,1br7br5
202001010611,馬単,13 → 8,1560,1
202001010611,三連複,8 - 10 - 13,2680,3
202001010611,三連単,13 → 8 → 10,9480,3
202001010612,単勝,9,240,1
202001010612,複勝,9br8br1br7,110br230br330br540,1br4br8br11
202001010612,枠連,4 - 5,1160,4
202001010612,馬連,8 - 9,1640,5
202001010612,ワイド,8 - 9br1 - 9br7 - 9br1 - 8br7 - 8,"340br530br1,000br1,730br2,450",3br6br17br33br50
202001010612,馬単,9 → 8,2560,7
202001010612,三連複,1 - 8 - 9br7 - 8 - 9,"4,320br7,510",24br42
202001010612,三連単,9 → 8 → 1br9 → 8 → 7,"15,000br26,510",70br150
202001020101,単勝,4,190,1
202001020101,複勝,4br1,110br120,1br2
202001020101,馬連,1 - 4,210,1
202001020101,ワイド,1 - 4br3 - 4br1 - 3,120br200br220,1br4br5
202001020101,馬単,4 → 1,360,1
202001020101,三連複,1 - 3 - 4,320,2
202001020101,三連単,4 → 1 → 3,910,2
202001020102,単勝,8,1620,6
202001020102,複勝,8br5br2,200br110br110,5br1br2
202001020102,枠連,5 - 7,440,2
202001020102,馬連,5 - 8,1420,7
202001020102,ワイド,5 - 8br2 - 8br2 - 5,430br440br160,6br7br1
202001020102,馬単,8 → 5,4310,18
202001020102,三連複,2 - 5 - 8,990,3
202001020102,三連単,8 → 5 → 2,11360,39
